record_id,company_name,office_name,phone,company_url,license_number,license_type,city_or_prefecture,address,mhlw_source_url,mhlw_raw_path,page_number,detail_index,collected_at
company-2f4c3e06,株式会社 札幌昭栄,株式会社 札幌昭栄,011-233-1811,,01-ユ-010019,有料職業紹介事業,北海道,北海道札幌市中央区南１条西２丁目５番地 南一条Ｋビル８階,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010019%2C0+++++,data/raw/mhlw/detail-000001-01_ユ_010019.html,1,1,2026-05-22T10:12:25+08:00
company-9900cdc3,株式会社 エイチビーケーサポートワーク,株式会社 エイチビーケーサポートワーク,011-671-2788,,01-ユ-010082,有料職業紹介事業,北海道,北海道札幌市西区発寒6条9丁目1番10号 ペルル宮の沢3階,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010082%2C0+++++,data/raw/mhlw/detail-000002-01_ユ_010082.html,1,2,2026-05-22T10:12:25+08:00
company-fdfd4207,有限会社 北見マーケットコミュニケーションズ,有限会社 北見マーケットコミュニケーションズ,0157-36-4052,,01-ユ-050002,有料職業紹介事業,北海道,北海道北見市中央三輪8丁目7番地9,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-050002%2C0+++++,data/raw/mhlw/detail-000003-01_ユ_050002.html,1,3,2026-05-22T10:12:25+08:00
company-50700965,株式会社 ロックウェル,株式会社 ロックウェル,011-290-1800,,01-ユ-300012,有料職業紹介事業,北海道,北海道札幌市中央区大通西十三丁目4番120 ジェネシスビル4F,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300012%2C0+++++,data/raw/mhlw/detail-000004-01_ユ_300012.html,1,4,2026-05-22T10:12:25+08:00
company-14714f2b,株式会社 道新アクセス,株式会社 道新アクセス,011-210-5549,,01-ユ-300020,有料職業紹介事業,北海道,北海道札幌市中央区大通東4丁目1番地 北海道新聞社ビル5階,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300020%2C0+++++,data/raw/mhlw/detail-000005-01_ユ_300020.html,1,5,2026-05-22T10:12:25+08:00
company-1bde2b53,株式会社 アネックス,株式会社 アネックス,011-867-5730,,01-ユ-300031,有料職業紹介事業,北海道,北海道札幌市白石区本郷通7丁目北6番20号 第1加治屋ビル3階,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C0+++++,data/raw/mhlw/detail-000006-01_ユ_300031.html,1,6,2026-05-22T10:12:25+08:00
company-3961db7d,株式会社 アネックス,株式会社アネックス 帯広営業所,0155-27-7222,,01-ユ-300031,有料職業紹介事業,北海道,北海道帯広市東1条南1丁目1 東1条ビル3Ｆ,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C1+++++,data/raw/mhlw/detail-000007-01_ユ_300031.html,1,7,2026-05-22T10:12:25+08:00
company-a7e61177,株式会社 ファーストステップ,株式会社 ファーストステップ,011-892-8500,,01-ユ-300039,有料職業紹介事業,北海道,北海道札幌市厚別区厚別中央2条5丁目2番1号 クラスター・ユー・エム2階,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300039%2C0+++++,data/raw/mhlw/detail-000008-01_ユ_300039.html,1,8,2026-05-22T10:12:25+08:00
company-16a31d99,メイツセレクト 株式会社,メイツセレクト 株式会社,011-857-8311,,01-ユ-300046,有料職業紹介事業,北海道,北海道札幌市白石区栄通16丁目7番13号,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300046%2C0+++++,data/raw/mhlw/detail-000009-01_ユ_300046.html,1,9,2026-05-22T10:12:25+08:00
company-31dc22aa,有限会社 ガーディアン美警,有限会社 ガーディアン美警,0138-85-8884,,01-ユ-300064,有料職業紹介事業,北海道,北海道函館市昭和四丁目41番1号,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300064%2C0+++++,data/raw/mhlw/detail-000010-01_ユ_300064.html,1,10,2026-05-22T10:12:25+08:00
