记录ID,公司名称,联系人,职位,邮箱,电话,联系表单链接,公司官网,联系方式来源URL,厚生劳动省来源URL,许可证号,许可类型,城市或都道府县,专业领域,业务分类,证据关键词,验证状态,可信度,来源访问时间,备注,邮箱或表单来源URL,邮箱或表单原始页面路径,邮箱补充状态
company-2f4c3e06,株式会社 札幌昭栄,,,info@ma.newb.ne.jp,011-233-1811,,http://www.sapporo-syouei.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010019%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010019%2C0+++++,01-ユ-010019,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,http://www.sapporo-syouei.co.jp/,data/raw/static_enrichment/company-2f4c3e06-page1-8a10472256.html,email_found
company-9900cdc3,株式会社 エイチビーケーサポートワーク,,,,011-671-2788,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010082%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010082%2C0+++++,01-ユ-010082,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-fdfd4207,有限会社 北見マーケットコミュニケーションズ,,,,0157-36-4052,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-050002%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-050002%2C0+++++,01-ユ-050002,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-50700965,株式会社 ロックウェル,,,,011-290-1800,https://rock-well.co.jp/temporarystaffing/contact,https://rock-well.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300012%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300012%2C0+++++,01-ユ-300012,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://rock-well.co.jp/,data/raw/static_enrichment/company-50700965-page1-63a050e71f.html,contact_form_found
company-14714f2b,株式会社 道新アクセス,,,,011-210-5549,,https://doshin-access.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300020%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300020%2C0+++++,01-ユ-300020,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://doshin-access.jp/,data/raw/static_enrichment/company-14714f2b-page1-4bb603e2ae.html,official_site_found_no_contact
company-1bde2b53,株式会社 アネックス,,,,011-867-5730,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C0+++++,01-ユ-300031,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-3961db7d,株式会社 アネックス,,,,0155-27-7222,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C1+++++,01-ユ-300031,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-a7e61177,株式会社 ファーストステップ,,,,011-892-8500,https://dream-firststep.co.jp/contact/,https://dream-firststep.co.jp/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300039%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300039%2C0+++++,01-ユ-300039,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://dream-firststep.co.jp/contact/,data/raw/static_enrichment/company-a7e61177-page1-2ca4eab5b0.html,contact_form_found
company-16a31d99,メイツセレクト 株式会社,,,,011-857-8311,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300046%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300046%2C0+++++,01-ユ-300046,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,,,not_found
company-31dc22aa,有限会社 ガーディアン美警,,,info@g-bikei.jp,0138-85-8884,,https://g-bikei.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300064%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300064%2C0+++++,01-ユ-300064,有料職業紹介事業,北海道,,recruitment_agency,職業紹介,mhlw_verified,high,2026-05-21T11:45:46+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://g-bikei.jp/,data/raw/static_enrichment/company-31dc22aa-page1-b3ff6e7587.html,email_found
