record_id,company_name,contact_name,title,email,phone,contact_form_url,company_url,source_url,mhlw_source_url,license_number,license_type,city_or_prefecture,specialization,classification,hunter_likelihood,hunter_likelihood_reason,evidence_keywords,verification_status,confidence,source_accessed_at,notes,email_source_url,email_source_text_path,enrichment_status
company-2f4c3e06,株式会社 札幌昭栄,,,info@ma.newb.ne.jp,011-233-1811,,http://www.sapporo-syouei.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010019%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010019%2C0+++++,01-ユ-010019,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,Official/public evidence is mainly non-headhunter vertical: 配ぜん.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,http://www.sapporo-syouei.co.jp/,data/runs/20260522-101225/raw/static/company-2f4c3e06-page1-8a10472256.html,email_found
company-9900cdc3,株式会社 エイチビーケーサポートワーク,,,contact-us@hbk.biz,011-671-2788,,https://www.hbk.biz,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010082%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-010082%2C0+++++,01-ユ-010082,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"primary business is 人材派遣 (temp staffing/dispatch), an excluded non-headhunter vertical",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Official HBK Group site /about page confirms company identity: name, MHLW license 01-ユ-010082, same address. Group email contact-us@hbk.biz in footer. No dedicated company site; group site serves as official presence. Classified exclude due to 人材派遣 dispatch staffing primary business.",https://www.hbk.biz/about,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-101225/raw/agents/agent-001/company-9900cdc3-hbk-about.txt,agent_email_found
company-fdfd4207,有限会社 北見マーケットコミュニケーションズ,,,,0157-36-4052,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-050002%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-050002%2C0+++++,01-ユ-050002,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Company is a dispatch/temp staffing agency (人材派遣, 労働者派遣業, マネキン紹介所), specializes in dispatching sales staff and mannequin/model staff; no headhunting signal found.",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Checked MHLW license page, Google search, gBizINFO, Baseconnect, iタウンページ, ヤッピー派遣, Aqsh Works, and NAVITIME. No official website, email, or contact form found. Company confirmed as a small local temp staffing/dispatch agency in Kitami, Hokkaido.",https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-050002%2C0+++++,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-101225/raw/agents/agent-002/company-fdfd4207-mhlw.txt,agent_not_found
company-50700965,株式会社 ロックウェル,,,,011-290-1800,https://rock-well.co.jp/temporarystaffing/contact,https://rock-well.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300012%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300012%2C0+++++,01-ユ-300012,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,Official/public evidence is mainly non-headhunter vertical: 人材派遣.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://rock-well.co.jp/,data/runs/20260522-101225/raw/static/company-50700965-page1-63a050e71f.html,contact_form_found
company-14714f2b,株式会社 道新アクセス,,,,011-210-5549,,https://doshin-access.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300020%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300020%2C0+++++,01-ユ-300020,有料職業紹介事業,北海道,全行业,recruitment_agency,low,"Has MHLW 有料職業紹介 license but main business is real estate management, web production, and system development; no headhunting/recruiting positioning on official site",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Confirmed official site at doshin-access.jp via Dokobot. No public email or contact form found; /contact/ returns 404. Company is a Hokkaido Shimbun group company offering real estate/IT services. Holds paid placement license (01-ユ-300020) but placement volume is negligible (0-7/year). No headhunting signals.,https://doshin-access.jp/,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-101225/raw/agents/agent-003/company-14714f2b-doshin-access.txt,agent_official_site_found_no_contact
company-1bde2b53,株式会社 アネックス,,,sapporo@annex-job.com,011-867-5730,https://annex-job.com/contact/,https://annex-job.com/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C0+++++,01-ユ-300031,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Main business is temp staffing/dispatch (人材派遣) and paid placement, not headhunting",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Found official company site annex-job.com via Google search. Company page (company/) confirms company name, phone 011-867-5730, MHLW license 01-ユ-300031, and public email sapporo@annex-job.com. Contact form at /contact/. No headhunting/executive-search keywords detected; classified as exclude per dispatch/temp staffing guidance.",https://annex-job.com/company/,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-101225/raw/agents/agent-004/company-1bde2b53-company.txt,agent_email_found
company-3961db7d,株式会社 アネックス,,,sapporo@annex-job.com,0155-27-7222,https://annex-job.com/client/contact/,https://annex-job.com/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300031%2C1+++++,01-ユ-300031,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Official site primarily brands as 人材派遣 (temp staffing/dispatch) company, a non-headhunter vertical per exclusion criteria.",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Found public business email sapporo@annex-job.com on official company info page (annex-job.com/company). Company confirmed by matching name, phone (0155-27-7222), and MHLW license (01-ユ-300031). Contact form at /client/contact/ for business inquiries.",https://annex-job.com/company/,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-101225/raw/agents/agent-005/company-3961db7d-company.txt,agent_email_found
company-a7e61177,株式会社 ファーストステップ,,,,011-892-8500,https://dream-firststep.co.jp/contact/,https://dream-firststep.co.jp/contact/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300039%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300039%2C0+++++,01-ユ-300039,有料職業紹介事業,北海道,全行业,recruitment_agency,low,No explicit headhunter or recruiting-positioning signal found in available official/public evidence.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://dream-firststep.co.jp/contact/,data/runs/20260522-101225/raw/static/company-a7e61177-page1-2ca4eab5b0.html,contact_form_found
company-16a31d99,メイツセレクト 株式会社,,,,011-857-8311,http://www.at-g.com/inquiry/,http://www.at-g.com/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300046%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300046%2C0+++++,01-ユ-300046,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Primary business is temp staffing/dispatch (労働者派遣事業, 人材派遣), construction, transportation, and handyman services; no headhunting or executive search signal found.",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Company identity confirmed on official A-TEAM Group site (at-g.com): name, phone 011-857-8311, license 01-ユ-300046, and address all match MHLW. No public email found but inquiry form exists at /inquiry/.",http://www.at-g.com/about/index.htm,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-101225/raw/agents/agent-006/company-16a31d99-about.txt,agent_contact_form_found
company-31dc22aa,有限会社 ガーディアン美警,,,info@g-bikei.jp,0138-85-8884,,https://g-bikei.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300064%2C0+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300064%2C0+++++,01-ユ-300064,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,Official/public evidence is mainly non-headhunter vertical: 人材派遣.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T10:12:25+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://g-bikei.jp/,data/runs/20260522-101225/raw/static/company-31dc22aa-page1-b3ff6e7587.html,email_found
