record_id,company_name,contact_name,title,email,phone,contact_form_url,company_url,source_url,mhlw_source_url,license_number,license_type,city_or_prefecture,specialization,classification,hunter_likelihood,hunter_likelihood_reason,evidence_keywords,verification_status,confidence,source_accessed_at,notes
company-a6ded4a3,ＷＡＧＡＯ 株式会社,,,,011-206-0212,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300909%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300909%2C1+++++,01-ユ-300909,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-9356992b,片山 一幸,,,,090-3890-0365,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300913%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300913%2C1+++++,01-ユ-300913,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-7a0a70ca,株式会社 ＳＨＡＲＥ,,,,011-596-0215,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300916%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300916%2C1+++++,01-ユ-300916,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-9dfbb3db,株式会社 ＭＯＫＡ．,,,,0154-68-4672,,https://www.moka-inc.com,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300919%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300919%2C1+++++,01-ユ-300919,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-4a827624,浜益特定地域づくり事業協同組合,,,,050-5236-1659,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300921%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300921%2C1+++++,01-ユ-300921,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-717ab93c,アサヒ管財 株式会社,,,,0166-32-1300,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300924%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300924%2C1+++++,01-ユ-300924,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-992d741d,ミャンマーフロンティア 株式会社,,,,0154-22-6775,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300929%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300929%2C1+++++,01-ユ-300929,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-69f50bac,株式会社 ＨＯＴサービス,,,,011-350-7292,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300930%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300930%2C1+++++,01-ユ-300930,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-e8664d18,有限会社 プログレスＡＩ,,,,011-700-1500,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300934%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300934%2C1+++++,01-ユ-300934,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
company-16438781,合同会社 ドリームヒルズ,,,,080-5425-7282,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300935%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300935%2C1+++++,01-ユ-300935,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW only proves a paid occupational placement license; headhunter positioning is not confirmed yet.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.
